# Region type : patch pressure_outlet
# Faces       : 6382
# Area        : 3.066803e-04
# Scale factor: 1.000000e+00
# Time        	areaAverage(U)
1             	(5.124395e-02 -4.811753e+01 -1.096765e-01)
2             	(1.963813e-02 -3.544514e+01 -7.362232e-02)
3             	(6.687996e-02 -4.870420e+00 -1.196592e-01)
4             	(4.990403e-02 1.195555e+01 -1.208207e-01)
5             	(-7.294986e-03 2.475405e+01 -5.928877e-02)
6             	(-5.115104e-03 3.119427e+01 -3.645747e-02)
7             	(-2.253090e-02 3.256632e+01 -8.601181e-02)
8             	(-3.049310e-02 3.010784e+01 9.514749e-02)
9             	(-6.342018e-02 2.462525e+01 -1.656537e-03)
10            	(-3.390742e-02 1.699825e+01 -1.246906e-02)
11            	(-1.332810e-01 8.561718e+00 1.937040e-02)
12            	(-1.799440e-01 3.188989e-01 2.317895e-02)
13            	(6.733982e-02 -6.027284e+00 1.466473e-02)
14            	(8.812116e-02 -1.017647e+01 -1.085718e-02)
15            	(7.133007e-02 -1.205697e+01 9.532601e-02)
16            	(1.150283e-01 -1.210779e+01 -5.871905e-04)
17            	(8.325292e-02 -1.081362e+01 9.447364e-03)
18            	(4.188364e-02 -8.623705e+00 1.534188e-01)
19            	(-7.642486e-04 -5.912711e+00 -2.477460e-02)
20            	(1.522522e-02 -3.040015e+00 7.456793e-02)
21            	(-3.556737e-02 -2.937705e-01 2.452002e-02)
22            	(-3.017663e-02 2.066559e+00 1.236937e-02)
23            	(-6.938311e-02 3.873686e+00 4.722942e-03)
24            	(-3.806907e-02 5.024857e+00 2.183573e-02)
25            	(-5.618218e-02 5.484354e+00 -1.440837e-02)
26            	(-6.879519e-02 5.283317e+00 -5.641825e-02)
27            	(-5.954887e-02 4.536324e+00 -3.419986e-02)
28            	(-7.112433e-02 3.407086e+00 -6.154036e-02)
29            	(-6.673077e-02 2.072042e+00 -6.794518e-02)
30            	(-7.799867e-02 7.000677e-01 -5.616954e-02)
31            	(-7.280971e-02 -5.732503e-01 -7.890301e-02)
32            	(-1.063337e-01 -1.631720e+00 -9.414954e-02)
