# Region type : patch pressure_outlet
# Faces       : 354
# Area        : 3.066803e-04
# Scale factor: 1.000000e+00
# Time        	sum(phi)
1             	-1.163100e-06
2             	-4.158053e-06
3             	-1.090696e-05
4             	6.657523e-06
5             	-7.636175e-06
6             	2.071657e-06
7             	4.117388e-06
8             	7.089964e-06
9             	9.587569e-06
10            	8.570379e-06
11            	4.379275e-06
12            	5.543065e-07
13            	-4.870747e-06
14            	-5.176255e-06
15            	-4.480189e-06
16            	1.383094e-06
17            	5.788443e-07
18            	6.655696e-07
19            	2.819223e-06
20            	3.410736e-06
21            	2.403344e-06
22            	2.186857e-07
23            	-1.627238e-06
24            	-8.985354e-07
25            	-1.426149e-06
26            	-1.396513e-06
27            	3.029701e-07
28            	-2.717598e-07
29            	1.304950e-06
30            	2.533626e-07
31            	8.414458e-07
32            	-3.139994e-08
33            	-4.464753e-07
34            	4.316189e-07
35            	3.075475e-07
36            	1.774125e-07
37            	1.276270e-07
38            	3.572169e-07
39            	-7.047912e-08
40            	2.900668e-07
41            	2.017294e-07
42            	-7.982156e-08
43            	-2.332825e-07
44            	-2.369147e-07
45            	-2.060251e-07
46            	-1.523066e-07
47            	4.227110e-08
48            	3.351710e-09
49            	1.757480e-07
50            	-2.376077e-08
51            	9.226642e-08
52            	2.850557e-08
53            	-7.886334e-08
54            	-6.698925e-08
55            	-1.143581e-07
56            	-6.949072e-08
57            	-2.672600e-08
58            	-2.750783e-10
59            	1.027541e-07
60            	1.135768e-07
61            	1.060299e-07
62            	1.061944e-07
63            	-6.963549e-08
64            	-4.215264e-08
65            	-3.198954e-08
66            	-2.041928e-08
67            	-2.978296e-08
68            	4.401290e-08
69            	3.656796e-08
70            	3.409231e-08
71            	3.867583e-08
72            	4.697104e-08
73            	5.257925e-08
74            	-3.018699e-08
75            	-4.201274e-08
76            	-4.043702e-08
77            	-3.045295e-08
78            	3.115772e-08
79            	4.118640e-08
80            	4.174316e-08
81            	4.460760e-08
82            	4.599021e-08
83            	3.414572e-08
84            	1.055885e-08
85            	-1.129750e-09
86            	-6.639607e-09
87            	4.127581e-09
88            	2.299465e-08
89            	1.839804e-08
90            	1.666087e-08
91            	1.594565e-08
92            	1.550605e-08
93            	1.476637e-08
94            	3.248423e-08
95            	4.692802e-08
96            	4.887777e-08
97            	2.698931e-08
98            	2.812551e-08
99            	1.181858e-08
100           	5.345858e-08
101           	5.359039e-08
102           	5.081715e-08
103           	4.268930e-08
104           	3.923857e-08
105           	4.988884e-08
106           	1.888489e-08
107           	1.006093e-08
108           	1.256759e-08
109           	6.500822e-09
110           	8.559567e-09
111           	1.746863e-08
112           	1.224220e-08
113           	3.588450e-09
114           	5.292980e-10
115           	1.167187e-08
116           	1.072115e-08
117           	7.037015e-09
118           	7.408350e-09
119           	5.812728e-09
120           	-8.188488e-09
121           	-1.309443e-08
122           	-1.535078e-08
123           	-1.266323e-08
124           	-3.089373e-08
125           	-2.245226e-08
126           	-1.579822e-08
127           	-2.947887e-09
128           	6.010818e-09
129           	1.574840e-08
130           	1.505542e-08
131           	1.385743e-08
132           	6.171062e-09
133           	2.845125e-09
134           	-2.210222e-09
135           	-5.903344e-09
136           	-3.446118e-09
137           	-3.671534e-09
138           	-2.664634e-09
139           	2.480522e-09
140           	5.145195e-09
141           	5.047152e-09
142           	5.555323e-09
143           	6.438953e-09
144           	7.651777e-09
145           	8.499315e-09
146           	6.502248e-09
147           	7.102911e-09
148           	6.780350e-09
149           	6.464604e-09
150           	5.922579e-09
151           	5.005745e-09
152           	4.316216e-09
153           	5.262953e-09
154           	6.010596e-09
155           	6.175122e-09
156           	6.720019e-09
157           	-1.240463e-09
158           	-5.787710e-09
159           	-5.402703e-09
160           	-4.473577e-09
161           	-2.746026e-09
162           	-1.548276e-09
163           	-1.168855e-09
164           	-3.016492e-10
165           	1.433705e-09
166           	2.097094e-09
167           	2.882338e-09
168           	1.932891e-09
169           	3.448869e-09
170           	-8.556826e-10
171           	-8.758144e-09
172           	-4.580855e-09
173           	-1.555550e-09
174           	-1.730768e-09
175           	-2.296021e-09
176           	-2.935275e-09
177           	-3.258761e-09
178           	-4.983556e-09
179           	-7.341650e-09
180           	-6.305674e-09
181           	-4.766817e-09
182           	-1.540239e-09
183           	-3.229727e-10
184           	1.090884e-09
185           	1.488695e-09
186           	7.438808e-10
187           	3.858176e-11
188           	-1.713393e-09
189           	-3.891825e-09
190           	-2.828902e-09
191           	-2.079193e-09
192           	-7.500732e-10
193           	-5.448760e-10
194           	-4.305572e-10
195           	-5.308708e-10
196           	6.285025e-11
197           	9.786894e-11
198           	2.012848e-10
199           	5.838863e-10
200           	1.747211e-09
201           	1.235927e-09
202           	3.087530e-10
203           	-9.529428e-10
204           	-6.272674e-10
205           	-6.503440e-10
206           	-1.839657e-09
207           	-4.070612e-09
208           	-5.480404e-09
209           	-5.561960e-09
210           	-5.458944e-09
211           	-3.339200e-09
212           	-4.415607e-09
213           	-3.563635e-09
214           	-4.469626e-09
215           	-3.152248e-09
216           	-2.468308e-09
217           	-2.665633e-09
218           	-2.384426e-09
219           	-4.785567e-09
220           	-6.397404e-09
221           	4.959754e-09
222           	4.788185e-09
223           	4.106522e-09
224           	3.513568e-09
225           	1.730465e-09
226           	-3.875472e-09
227           	-4.650817e-09
228           	-4.144572e-09
229           	-5.259663e-09
230           	-4.918128e-09
231           	-4.027510e-09
232           	-4.295618e-09
233           	-3.910382e-09
234           	-4.303758e-09
235           	-4.392844e-09
236           	-3.667235e-09
237           	-3.998906e-09
238           	-3.521661e-09
239           	-1.826464e-09
240           	-2.705473e-09
241           	-3.376825e-09
242           	-4.364353e-09
243           	-5.116875e-09
244           	-6.072457e-09
245           	-5.542106e-09
246           	-5.081570e-09
247           	-4.664056e-09
248           	-3.702518e-09
249           	1.463596e-09
250           	-1.890051e-09
251           	4.528496e-10
252           	-3.083968e-09
253           	-3.322950e-09
254           	-1.840080e-09
255           	-2.884259e-09
256           	-2.085682e-09
257           	-3.743271e-09
258           	-2.939195e-09
259           	-5.949963e-10
260           	-3.915099e-09
261           	4.422846e-09
262           	-2.542969e-09
263           	4.587664e-09
264           	1.251753e-09
265           	3.845300e-09
266           	1.597163e-09
267           	3.566814e-09
268           	4.519484e-10
269           	1.114309e-09
270           	3.499534e-09
271           	1.141095e-09
272           	1.848232e-09
273           	-2.127776e-09
274           	-1.634364e-09
275           	3.974699e-09
276           	-9.280351e-10
277           	3.091980e-09
278           	-4.332078e-10
279           	2.677594e-09
280           	1.051723e-11
281           	2.600755e-09
282           	-1.049226e-09
283           	2.536610e-09
284           	-4.081393e-09
285           	2.961155e-09
286           	-1.678746e-09
287           	2.886693e-09
288           	-5.614519e-10
289           	1.218544e-09
290           	-1.104843e-09
291           	5.357616e-10
292           	-2.441618e-09
293           	-1.349674e-09
294           	-1.134591e-09
295           	2.591174e-09
296           	-2.762875e-09
297           	7.952346e-10
298           	-7.380327e-10
299           	1.747270e-09
300           	-9.250167e-10
301           	9.637048e-10
302           	-1.218151e-09
303           	-1.273662e-09
304           	-1.378449e-09
305           	4.635835e-10
306           	-9.258932e-10
307           	2.156925e-09
308           	-4.210335e-10
309           	3.056655e-09
310           	-1.242989e-09
311           	-1.137248e-09
312           	4.189379e-10
313           	-1.695031e-09
314           	-7.973958e-10
315           	-1.447663e-09
316           	-5.348314e-10
317           	3.248395e-09
318           	-3.035937e-10
319           	2.542878e-09
320           	-8.895526e-10
321           	-6.616793e-10
322           	-5.598287e-10
323           	-1.181449e-09
324           	-8.303807e-10
325           	-2.087290e-09
326           	-1.340677e-09
327           	-5.763304e-09
328           	-2.321028e-10
329           	-3.667155e-09
330           	-7.265476e-10
331           	-3.100901e-09
332           	-1.261398e-09
333           	-1.835036e-09
334           	-4.392502e-10
335           	-7.231608e-10
336           	3.475053e-10
337           	-1.245024e-09
338           	8.801173e-10
339           	-3.543357e-09
340           	2.492719e-09
341           	-4.767347e-10
342           	3.620259e-09
343           	1.171395e-09
344           	3.144186e-09
345           	7.457394e-10
346           	2.840417e-09
347           	-4.725406e-10
348           	2.886330e-09
349           	-1.399111e-09
350           	5.349658e-10
351           	4.054028e-10
352           	-3.264128e-09
353           	-2.086911e-09
354           	-3.714200e-09
355           	-1.646673e-09
356           	-4.918623e-09
357           	-1.684482e-09
358           	-7.359755e-09
359           	1.056398e-09
360           	-2.903445e-09
361           	-1.103764e-09
362           	-1.107641e-09
363           	-1.340290e-09
364           	-1.372217e-09
365           	1.693492e-09
366           	-9.339725e-11
367           	2.339741e-09
368           	1.450961e-10
369           	-1.431755e-09
370           	1.431708e-11
371           	-1.532063e-09
372           	1.569561e-09
373           	-1.333610e-09
374           	2.599279e-09
375           	-1.559441e-09
376           	-3.367957e-10
377           	-7.257643e-10
378           	-1.280014e-09
379           	9.852461e-10
380           	1.349706e-09
381           	-3.430593e-10
382           	-7.599754e-10
383           	-5.735170e-10
384           	-1.272174e-09
385           	6.409787e-11
386           	-1.201347e-09
387           	2.815172e-09
388           	-4.093473e-10
389           	1.040662e-09
390           	-1.724215e-09
391           	1.797116e-10
392           	-7.106679e-10
393           	2.308328e-09
394           	2.551240e-09
395           	4.484844e-09
396           	6.345449e-09
397           	2.322391e-09
398           	-6.742507e-09
399           	2.111823e-09
400           	-7.011699e-09
401           	2.229047e-09
402           	-7.744699e-09
403           	4.224630e-10
404           	-9.997593e-09
405           	1.539220e-10
406           	-8.871792e-09
407           	3.988328e-09
408           	3.165715e-09
409           	3.006556e-09
410           	1.704251e-09
411           	-2.662776e-09
412           	-8.144510e-09
413           	-3.631489e-09
414           	-1.844488e-08
415           	2.640708e-09
416           	-2.085579e-08
417           	-2.093242e-09
418           	-2.410967e-08
419           	-1.112970e-10
420           	4.263241e-09
421           	1.418779e-09
422           	3.317437e-09
423           	-7.887446e-10
424           	-1.752523e-08
425           	-5.584093e-09
426           	-1.605236e-08
427           	-5.667569e-09
428           	-2.205567e-08
429           	-2.319904e-09
430           	-2.621244e-08
431           	-3.472820e-09
432           	-2.710486e-08
