# Region type : patch velocity_inlet
# Faces       : 11512
# Area        : 3.696967e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(U)
1             	(0.000000e+00 0.000000e+00 1.000000e-03)
2             	(0.000000e+00 0.000000e+00 1.000000e-03)
3             	(0.000000e+00 0.000000e+00 1.000000e-03)
4             	(0.000000e+00 0.000000e+00 1.000000e-03)
5             	(0.000000e+00 0.000000e+00 1.000000e-03)
6             	(0.000000e+00 0.000000e+00 1.000000e-03)
7             	(0.000000e+00 0.000000e+00 1.000000e-03)
8             	(0.000000e+00 0.000000e+00 1.000000e-03)
9             	(0.000000e+00 0.000000e+00 1.000000e-03)
10            	(0.000000e+00 0.000000e+00 1.000000e-03)
11            	(0.000000e+00 0.000000e+00 1.000000e-03)
12            	(0.000000e+00 0.000000e+00 1.000000e-03)
13            	(0.000000e+00 0.000000e+00 1.000000e-03)
14            	(0.000000e+00 0.000000e+00 1.000000e-03)
15            	(0.000000e+00 0.000000e+00 1.000000e-03)
16            	(0.000000e+00 0.000000e+00 1.000000e-03)
17            	(0.000000e+00 0.000000e+00 1.000000e-03)
18            	(0.000000e+00 0.000000e+00 1.000000e-03)
19            	(0.000000e+00 0.000000e+00 1.000000e-03)
20            	(0.000000e+00 0.000000e+00 1.000000e-03)
21            	(0.000000e+00 0.000000e+00 1.000000e-03)
22            	(0.000000e+00 0.000000e+00 1.000000e-03)
23            	(0.000000e+00 0.000000e+00 1.000000e-03)
24            	(0.000000e+00 0.000000e+00 1.000000e-03)
25            	(0.000000e+00 0.000000e+00 1.000000e-03)
26            	(0.000000e+00 0.000000e+00 1.000000e-03)
27            	(0.000000e+00 0.000000e+00 1.000000e-03)
28            	(0.000000e+00 0.000000e+00 1.000000e-03)
29            	(0.000000e+00 0.000000e+00 1.000000e-03)
30            	(0.000000e+00 0.000000e+00 1.000000e-03)
31            	(0.000000e+00 0.000000e+00 1.000000e-03)
32            	(0.000000e+00 0.000000e+00 1.000000e-03)
33            	(0.000000e+00 0.000000e+00 1.000000e-03)
34            	(0.000000e+00 0.000000e+00 1.000000e-03)
35            	(0.000000e+00 0.000000e+00 1.000000e-03)
