# Region type : patch pressure_outlet
# Faces       : 1888
# Area        : 4.314365e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(U)
1             	(-4.739446e-02 2.252148e-02 1.041903e+00)
2             	(-4.537068e-02 2.036610e-02 1.029251e+00)
3             	(-4.344562e-02 1.957656e-02 1.014032e+00)
4             	(-4.183996e-02 1.960327e-02 1.004199e+00)
5             	(-3.998642e-02 2.059553e-02 9.981471e-01)
6             	(-3.750866e-02 2.246513e-02 9.964086e-01)
7             	(-3.475808e-02 2.524224e-02 9.978968e-01)
8             	(-3.171384e-02 2.845462e-02 1.000781e+00)
9             	(-2.849002e-02 3.149668e-02 1.002969e+00)
10            	(-2.533978e-02 3.435551e-02 1.003930e+00)
11            	(-2.229802e-02 3.655106e-02 1.003196e+00)
12            	(-1.938766e-02 3.763860e-02 1.001503e+00)
13            	(-1.659504e-02 3.733838e-02 9.997757e-01)
14            	(-1.408191e-02 3.578425e-02 9.988345e-01)
15            	(-1.182574e-02 3.413353e-02 9.981930e-01)
16            	(-1.005174e-02 3.119231e-02 9.980874e-01)
17            	(-8.448735e-03 2.774001e-02 9.986027e-01)
18            	(-7.588528e-03 2.378115e-02 9.993468e-01)
19            	(-6.892979e-03 1.968450e-02 9.995097e-01)
20            	(-6.583154e-03 1.537385e-02 9.990713e-01)
21            	(-6.080456e-03 1.153119e-02 9.983267e-01)
22            	(-6.263365e-03 8.095539e-03 9.976791e-01)
23            	(-6.295950e-03 4.876144e-03 9.974265e-01)
24            	(-6.404684e-03 2.232503e-03 9.976668e-01)
25            	(-6.461875e-03 1.979107e-04 9.980993e-01)
26            	(-6.654023e-03 -1.786286e-03 9.985481e-01)
27            	(-6.879712e-03 -3.313193e-03 9.986984e-01)
28            	(-6.879204e-03 -4.118058e-03 9.988251e-01)
29            	(-7.144079e-03 -4.352490e-03 9.990981e-01)
30            	(-6.980734e-03 -4.090249e-03 9.993129e-01)
31            	(-6.442371e-03 -3.611772e-03 9.996085e-01)
32            	(-6.081748e-03 -2.443718e-03 9.997453e-01)
33            	(-5.417076e-03 -1.495833e-03 9.998593e-01)
34            	(-4.725099e-03 7.688073e-05 1.000087e+00)
35            	(-4.450293e-03 1.503766e-03 1.000306e+00)
36            	(-3.741747e-03 3.074758e-03 1.000594e+00)
37            	(-3.199084e-03 4.650421e-03 1.001069e+00)
38            	(-2.582963e-03 6.112870e-03 1.001316e+00)
39            	(-1.911433e-03 7.537454e-03 1.001223e+00)
40            	(-1.114034e-03 8.737650e-03 1.000822e+00)
41            	(-5.700724e-04 1.020919e-02 1.000526e+00)
42            	(8.148054e-05 1.146233e-02 1.000299e+00)
43            	(5.838612e-04 1.270401e-02 1.000408e+00)
44            	(1.313062e-03 1.366425e-02 1.000347e+00)
45            	(1.916368e-03 1.493195e-02 1.000380e+00)
46            	(2.226331e-03 1.592878e-02 1.000303e+00)
47            	(2.331840e-03 1.669237e-02 1.000360e+00)
48            	(2.184315e-03 1.747753e-02 1.000718e+00)
49            	(1.951487e-03 1.828457e-02 1.000928e+00)
50            	(1.806748e-03 1.907820e-02 1.000862e+00)
51            	(1.712803e-03 1.974269e-02 1.000807e+00)
52            	(1.557103e-03 2.027103e-02 1.000848e+00)
53            	(1.475427e-03 2.074049e-02 1.000924e+00)
54            	(1.307864e-03 2.113104e-02 1.000952e+00)
55            	(1.057051e-03 2.169322e-02 1.000865e+00)
56            	(8.007506e-04 2.227820e-02 1.000897e+00)
57            	(7.459179e-04 2.281856e-02 1.001031e+00)
58            	(8.151247e-04 2.348870e-02 1.001261e+00)
59            	(7.519052e-04 2.409377e-02 1.001395e+00)
60            	(6.093289e-04 2.463938e-02 1.001347e+00)
61            	(3.971120e-04 2.516912e-02 1.001332e+00)
62            	(2.523494e-04 2.586765e-02 1.001195e+00)
63            	(1.036199e-04 2.670576e-02 1.001051e+00)
64            	(-2.713635e-05 2.746211e-02 1.001050e+00)
65            	(-2.579930e-04 2.798512e-02 1.001128e+00)
66            	(-5.636162e-04 2.832877e-02 1.001153e+00)
67            	(-9.246105e-04 2.876389e-02 1.001079e+00)
68            	(-1.158458e-03 2.936496e-02 1.001018e+00)
69            	(-1.404690e-03 3.006906e-02 1.001034e+00)
70            	(-1.537111e-03 3.051924e-02 1.001020e+00)
71            	(-2.069986e-03 3.086759e-02 1.000887e+00)
72            	(-2.388969e-03 3.120301e-02 1.000622e+00)
73            	(-2.694461e-03 3.163074e-02 1.000397e+00)
74            	(-2.948337e-03 3.207224e-02 1.000272e+00)
75            	(-3.146485e-03 3.263206e-02 1.000193e+00)
76            	(-3.512370e-03 3.286274e-02 1.000143e+00)
77            	(-3.745805e-03 3.330005e-02 1.000107e+00)
78            	(-4.138855e-03 3.368510e-02 1.000151e+00)
79            	(-4.359517e-03 3.396189e-02 1.000207e+00)
80            	(-4.823187e-03 3.438789e-02 1.000283e+00)
81            	(-5.141888e-03 3.481394e-02 1.000307e+00)
82            	(-5.526880e-03 3.529021e-02 1.000249e+00)
83            	(-5.827777e-03 3.584885e-02 1.000302e+00)
84            	(-6.144431e-03 3.627870e-02 1.000403e+00)
85            	(-6.443603e-03 3.687359e-02 1.000297e+00)
86            	(-6.624629e-03 3.739864e-02 1.000191e+00)
87            	(-7.018675e-03 3.808143e-02 1.000145e+00)
88            	(-7.257908e-03 3.862737e-02 1.000210e+00)
89            	(-7.459987e-03 3.914059e-02 1.000303e+00)
90            	(-7.586056e-03 3.984944e-02 1.000456e+00)
91            	(-7.689622e-03 4.033606e-02 1.000537e+00)
92            	(-7.807893e-03 4.112489e-02 1.000650e+00)
93            	(-7.902720e-03 4.163034e-02 1.000652e+00)
94            	(-8.162886e-03 4.234510e-02 1.000606e+00)
95            	(-8.329170e-03 4.289494e-02 1.000588e+00)
96            	(-8.517916e-03 4.369617e-02 1.000631e+00)
97            	(-8.633450e-03 4.451382e-02 1.000652e+00)
98            	(-8.841991e-03 4.522322e-02 1.000663e+00)
99            	(-8.993678e-03 4.610784e-02 1.000640e+00)
