# Region type : patch pressure_outlet
# Faces       : 1920
# Area        : 1.948111e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(U)
1             	(5.086527e-02 -1.385736e-02 1.001323e+00)
2             	(5.028989e-02 -1.292098e-02 1.002466e+00)
3             	(4.980120e-02 -1.203205e-02 1.003256e+00)
4             	(4.937327e-02 -1.119706e-02 1.003690e+00)
5             	(4.898426e-02 -1.040567e-02 1.003836e+00)
6             	(4.861474e-02 -9.640055e-03 1.003770e+00)
7             	(4.824920e-02 -8.916141e-03 1.003556e+00)
8             	(4.789334e-02 -8.238984e-03 1.003248e+00)
9             	(4.754594e-02 -7.602762e-03 1.002892e+00)
10            	(4.720330e-02 -6.997438e-03 1.002510e+00)
11            	(4.687732e-02 -6.428683e-03 1.002120e+00)
12            	(4.656594e-02 -5.898110e-03 1.001730e+00)
13            	(4.626597e-02 -5.398189e-03 1.001345e+00)
14            	(4.597490e-02 -4.923705e-03 1.000956e+00)
15            	(4.569148e-02 -4.468936e-03 1.000563e+00)
16            	(4.542189e-02 -4.026166e-03 1.000188e+00)
17            	(4.516532e-02 -3.590913e-03 9.998448e-01)
18            	(4.492598e-02 -3.162269e-03 9.995482e-01)
19            	(4.470182e-02 -2.732752e-03 9.993164e-01)
20            	(4.449344e-02 -2.308189e-03 9.991616e-01)
21            	(4.430576e-02 -1.887639e-03 9.990955e-01)
22            	(4.413687e-02 -1.471777e-03 9.991154e-01)
23            	(4.398234e-02 -1.060335e-03 9.992101e-01)
24            	(4.384405e-02 -6.502402e-04 9.993619e-01)
25            	(4.371329e-02 -2.438204e-04 9.995515e-01)
26            	(4.358948e-02 1.663924e-04 9.997576e-01)
27            	(4.347434e-02 5.816236e-04 9.999615e-01)
28            	(4.336291e-02 1.004487e-03 1.000150e+00)
29            	(4.325480e-02 1.433131e-03 1.000307e+00)
30            	(4.315154e-02 1.866362e-03 1.000424e+00)
31            	(4.305192e-02 2.304368e-03 1.000494e+00)
32            	(4.295322e-02 2.747888e-03 1.000514e+00)
33            	(4.285408e-02 3.196956e-03 1.000492e+00)
34            	(4.275545e-02 3.651185e-03 1.000431e+00)
